,year,month,time,CGR,tmp_cru,pre_cru,pre_gpcc,tws_grace,nina34,nina3,nina4,eruption
2006-09-01,2006,9,2006-09-01,0.1497234511748743,0.025392061186273657,4.4271015536798775,4.855489008371737,0.32877419293324106,-0.1615574389010576,-0.1460032126158659,-0.04590029597992509,0
2006-10-01,2006,10,2006-10-01,0.12333326157866853,0.031103572194911167,4.460235176615175,3.9504717940965097,1.0236581830214941,-0.09838369064332592,-0.04474970170581499,0.0034267101307585424,0
2006-11-01,2006,11,2006-11-01,-0.584827982193761,0.014159719107059016,4.929592310151587,3.5079024580172615,2.0377856772534324,0.033118466791558374,0.13148984511929884,0.09106517923426871,0
2006-12-01,2006,12,2006-12-01,-0.80292083580811,-0.01677990956618622,4.319394384517348,2.8020508366395225,2.76304941137301,0.20462631645664975,0.32774298944495567,0.18872660864384916,0
2007-01-01,2007,1,2007-01-01,-1.2128848139232333,-0.06121364061464937,3.9527572715214827,2.3323074530108325,3.1057924884278703,0.3386292734603389,0.4673155022125585,0.2838662054683786,0
2007-02-01,2007,2,2007-02-01,-0.792150169095262,-0.07647347029476917,3.4621222048989844,1.7069093122740266,3.256502310188459,0.405132641292902,0.5027211706319092,0.377339709876801,0
2007-03-01,2007,3,2007-03-01,-0.30700715165722137,-0.07271917141332412,2.1321543046617455,0.2981844933685692,3.170679092279667,0.4491521680339354,0.5148347453336096,0.45421412221197066,0
2007-04-01,2007,4,2007-04-01,-0.35487510956665247,-0.04448894434100431,1.6068195705690274,-0.49227569949345107,2.3293671376226883,0.4489896602402051,0.49690676058683425,0.490188722424192,0
2007-05-01,2007,5,2007-05-01,-1.1480744278206947,-0.003023402204286374,1.041256200879455,-0.9542956412663233,1.295599102186647,0.41716612874390224,0.42982576495590463,0.48785286417659113,0
2007-06-01,2007,6,2007-06-01,-0.02444505633757732,-0.010406099912240563,1.1296833803260116,-0.6808434573870231,0.430848091961046,0.38783778648550693,0.37023081061049257,0.47632860315880343,0
2007-07-01,2007,7,2007-07-01,-0.05084695097494807,-0.034864731210289684,1.440697380746284,-0.5296318997605529,-0.006459760458276342,0.3376817347977375,0.28981620306503864,0.440660517363756,0
2007-08-01,2007,8,2007-08-01,-0.9933202345644822,-0.056775340496610954,2.0342509691798236,0.727540924015208,0.012990622053305145,0.2516875745886454,0.15855430974399562,0.37913740346189273,0
2007-09-01,2007,9,2007-09-01,0.10900513757450137,-0.0436189409814515,2.1639950883651853,0.752727272278854,0.3096964701476317,0.10902718580744182,-0.016874376414670166,0.2717815430856789,0
2007-10-01,2007,10,2007-10-01,-0.151700618477439,-0.061574974437808544,2.165815498021998,1.6430343176884006,0.6086608326093139,-0.06529427429189143,-0.2097893463316965,0.1427818095948822,0
2007-11-01,2007,11,2007-11-01,0.5033221159125439,-0.0521784679355459,1.9655952917727475,2.2712237190543925,0.5953666090282077,-0.27628712082124807,-0.4277182568000514,-0.02540622078057081,0
2007-12-01,2007,12,2007-12-01,0.11481381171449989,-0.03405939499166924,2.1591824026967124,2.438819712258245,0.4324219197387973,-0.5031077252577386,-0.6614667623233857,-0.1960714895714542,0
2008-01-01,2008,1,2008-01-01,1.195833917912014,-0.04632902023503663,2.7835790634455004,2.88295297147366,0.5296686668849078,-0.70159967970607,-0.8560625340861208,-0.371758345357069,0
2008-02-01,2008,2,2008-02-01,-0.3856473072804143,-0.11185728895773053,4.293970045802061,4.3642359710621,1.3551139541906978,-0.8517578423948592,-0.9664917281874228,-0.5424446005020443,0
2008-03-01,2008,3,2008-03-01,-1.3916890104173856,-0.1290431216992128,5.1943911406773475,5.389812822380704,2.4026770045966863,-0.9377387171859249,-0.9960599745791587,-0.683919369018151,0
2008-04-01,2008,4,2008-04-01,-3.2500728026908083,-0.17146742695764533,4.9977197216626745,5.230131163483744,3.4242530670506452,-0.9937293197789129,-0.9823226589957305,-0.7896044568720477,0
2008-05-01,2008,5,2008-05-01,-0.27318740949054987,-0.20945308720163858,4.683653997819507,5.313544659262346,4.276755148132741,-1.0247144082431223,-0.9302382313162769,-0.8761002031373588,0
2008-06-01,2008,6,2008-06-01,-1.0026738035953604,-0.2221629166080355,4.996818331550448,5.079513623831275,5.125155528243553,-1.05237076637505,-0.884001059869117,-0.95511743553965,0
2008-07-01,2008,7,2008-07-01,-0.5391909268705148,-0.21614060450733644,5.369599294006545,5.470424875029443,5.940712411619695,-1.0283549741281142,-0.7819167662894071,-1.0066120324623604,0
2008-08-01,2008,8,2008-08-01,-0.11847992114281436,-0.20216545065355407,4.915668143675563,4.636532923457067,6.286308194805159,-0.979343758223536,-0.6423463959261289,-1.0439614131763886,0
2008-09-01,2008,9,2008-09-01,0.15312976224709185,-0.20371609259047208,5.140366222814708,5.085794308819803,6.440657686810516,-0.9078320846819258,-0.5119427585204636,-1.0471435283549233,0
2008-10-01,2008,10,2008-10-01,-0.618791158912092,-0.20328351684262075,5.262900038234164,5.119611219949573,6.712684511364317,-0.821314978807091,-0.3856919891741131,-1.0261364060216907,0
2008-11-01,2008,11,2008-11-01,-0.9222840802825966,-0.20805800059147914,5.747992074792626,5.741021474032527,7.028129091956713,-0.7314690819694537,-0.2611218142291779,-0.995984019696743,0
2008-12-01,2008,12,2008-12-01,-1.161707524406276,-0.20311610582711415,5.887773688923476,5.802512764973269,7.643057657938558,-0.6716177897871778,-0.1698711698773916,-0.9708091083767039,0
2009-01-01,2009,1,2009-01-01,-1.6143030564152578,-0.1808193443679218,6.229866001871011,6.155301802954556,8.248918701474565,-0.6059376879771907,-0.09113445800408712,-0.929822238789544,0
2009-02-01,2009,2,2009-02-01,-1.0870999194722732,-0.11155454065021542,6.071373246501402,5.9312023282818185,8.855859823071246,-0.5327571516559858,-0.03573114613318573,-0.8696681268256351,0
2009-03-01,2009,3,2009-03-01,1.2937146694518964,-0.10684871713568442,5.755664765171321,5.049090620409116,9.078077185611427,-0.48956146032382464,-0.03278627707875798,-0.8061144611518907,0
2009-04-01,2009,4,2009-04-01,0.5855152605974236,-0.06998467323083235,6.168549455012936,5.478740353834386,9.379754236706606,-0.436380114919176,-0.00904976040503151,-0.7317926058414679,0
2009-05-01,2009,5,2009-05-01,-1.2301144792514107,-0.044697268260793704,6.06416912094711,5.299467035564885,9.629694303189165,-0.3615268048597482,0.03553390029276057,-0.6407816801157848,0
2009-06-01,2009,6,2009-06-01,-0.9585165364104631,-0.009439808377158798,5.401701211243504,4.2042517924152305,9.606282678174663,-0.2791779833775086,0.09510361518289907,-0.5422920748302678,0
2009-07-01,2009,7,2009-07-01,-1.134048846809685,0.009302671515992178,4.476416595540293,3.643885720257664,9.437374762623786,-0.2143239041716606,0.12885381080669564,-0.4496134501236393,0
2009-08-01,2009,8,2009-08-01,-0.41515356960030547,0.04480613133199396,3.409856641112194,2.5152629946401106,8.914552367398297,-0.15697430292945921,0.15342338873622946,-0.35112279547273384,0
2009-09-01,2009,9,2009-09-01,-1.3363596556305413,0.072559968397016,2.2977579145982414,1.2046224414335818,8.17000053893823,-0.07962431715932877,0.19299289666672848,-0.2476316213918882,0
2009-10-01,2009,10,2009-10-01,-1.5970958817202612,0.08504781379284437,1.6383566099555646,-0.017493512256283816,7.435240470171994,0.02356419970634178,0.2500762247471128,-0.12245150506015168,0
2009-11-01,2009,11,2009-11-01,-0.7504046701541627,0.10586731859406046,0.4609620354704048,-1.3703392026899128,6.758454604506813,0.18341491881754754,0.349645595007196,0.030207329586447867,0
2009-12-01,2009,12,2009-12-01,-0.7129435262693082,0.12924974089016356,0.28695541816533343,-2.060581409923723,5.679651279713498,0.3999374638955639,0.5067287903988577,0.19538838953657178,0
2010-01-01,2010,1,2010-01-01,-0.9312550492313347,0.17482574816676372,-0.6711972612813675,-3.354431778363401,4.58848397806894,0.6006222194663209,0.6379646913471756,0.36721484724711306,0
2010-02-01,2010,2,2010-02-01,1.129532024260319,0.2158430512078987,-1.8929874808596625,-5.068449394688248,2.6343352961787847,0.7704739882303949,0.7583671914109518,0.5107084437433295,0
